programName,programOriginator,programType,programDistribution,programDescription,creditRequirement,maxDebtToIncome,blocks,neighborhoods,city-town,county,state,amountOfAssistance,limitFirstTimeHomeBuyers,householdIncomeRestrictions,amiLimit,ami,fixedRateMortgagesOnly,mortgageAmountNotToExceed,employerParticipationRequired,mustBePrimaryResidence,mustContributeAmount,mustEarnCounselingCertificate,requiresInspection,eligibilityLimitations,eligible,getStarted,atAGlance,canBeCombined,canBeCombinedWith,participatingLenders,programContact,programLink
Direct Homeownership Assistance Program,,Down Payment & Closing Costs,,"The Direct Homeownership Assistance Program provides down payment and closing cost assistance to eligible first-time homebuyers who (a) purchase the house they have rented and occupied for at least six months, or (b) have a household member with a disability.",,,,,,,,"$5,000",TRUE,TRUE,TRUE,80,TRUE,"$517,500",,TRUE,"$1,000",TRUE,TRUE,"You must earn a homeownership counseling certificate before making an offer on your home.
You must live in this home as your primary residence.
You must contribute at least $1,000 of your own money to your home purchase.
Your mortgage amount cannot exceed the current FHA mortgage limit of $517,500 for a single-family home.
You must apply and be approved prior to closing on your home. Program funds are not retroactive.
Household income cannot exceed 80% AMI
First-time homebuyers only
Requires a “Housing Quality Standard” (HQS) inspection
Fixed-rate mortgages only. Co-signers, cash sales, and owner-financing are not permitted.",Baltimore City homebuyers who are CDBG Homeownership Assistance Program recipients.,Complete homeownership counseling and a program application,"$7,500",TRUE,,,,
Housing Choice Voucher Homeownership Program,,,,"What is it? This program helps current Housing Choice Voucher Program participants purchase homes by converting their monthly rental assistance payments to mortgage payments. What are the benefits? The amount of subsidy depends on family size, income, purchase price, and other factors, and reflects each individual household’s level of affordability. What are the restrictions/loan terms? A minimum of 1 percent of the purchase price must come directly from the purchaser. All homes must be purchased in Baltimore. Participants must meet regular program eligibility requirements in addition to the new regulations governing the Homeownership program. For more information, call Tonya Small at 410-396-4175.",,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.citylifebuilders.com/files/homeownership_incentives.pdf
Buying Into Baltimore Fairs and Trolley Tours,,Down Payment & Closing Costs,Forgivable Second Mortgage,"Contact: Ernestine Carter 410-396-3124
We mandate that all applicants review the Office of Homeownership Policies and Procedures on page 14 prior to submitting any application for incentives.

What is it?
This program is a joint venture of the City of Baltimore and the Live Baltimore Home Center. Neighborhood tours are scheduled in the spring and fall. The first 50 homebuyers that attend the trolley tour and execute a sales contract within 90 days of the fair receive a $4,000 award towards closing costs.

Who is eligible?
Homebuyers executing contracts of sale within 90 days of the Buying Into Baltimore Home Buying Fair and Neighborhood Tours. Validated tickets are accepted on a firstcome, first-served basis at the Office of Homeownership.

What are the benefits?
$4,000 down payment and closing assistance with no annual income limits.

What are the restrictions/loan terms?
Mortgage loan may not exceed $417,000. Buyer must contribute at least $1,000 towards purchase and must use the property as the principal residence. Borrower must attend the fair, get a ticket, and have ticket validated in at least four tour homes. The home must be located in the designated region for that fair. Contract must be signed after the event. Closing on the property must occur within 90 days of the event date. Loan is forgivable (20 percent per year) over 5 years for each year of occupancy.

How to Receive Your $4,000 Down Payment and Closing Cost Award

Please note the new requirement by the City of Baltimore in order to qualify for the $4,000 award.

How to Qualify for the $4,000 Award
• Attend a Buying Into Baltimore Fair and have your ticket stamped in at least 4 of the 16 featured tour homes.
• You must purchase a home in Baltimore City. This is not limited to only the featured tour homes but can be any home located in the designated region of the city.
• Contract of sale must be signed AFTER the date of the event; contracts signed prior  will not be eligible.
• Closing on the property must occur within 90 days of the event.
• Program applicants are required to get one-on-one counseling and a counseling certificate from a City-approved counseling agency prior to signing a contract of  sale.
• There are no annual income limits, and you do not have to be a first time homebuyer.

Office of Homeownership
417 E. Fayette Street, Suite 1125
Baltimore, MD 21202
410-396-3124
www.baltimorehousing.org
2 www.baltimorehousing.org

revised 4/2012
Buyer must:
• Agree to use the Baltimore City property as his/her principal residence.
• Use a Fannie Mae or Freddie Mac approved lender with a mortgage loan amount not to exceed $417,000.
• Contribute at least $1,000 towards purchase.
• Complete homeownership counseling and receive a certificate of completion prior to signing a contract of sale.

To Receive Your Award
1. Submit a copy of your executed contract of sale, validated home tour ticket, counseling certificate and picture ID in person to:
Baltimore Housing Office of Homeownership,
417 E. Fayette Street, Suite 1125, Baltimore, MD 21202.
For award information, call: 410-396-3124.
2. All contracts with validated tickets will be accepted on a first-come, first-served basis at the above address.
3. Those received will be stamp-dated and placed on a list for the first 50 received for the fair tour.
4. All others will be placed on a waiting list.
5. If awarded, the City will give an instruction sheet and a commitment letter for the award funds, and funds will be issued at closing.",,,,,Baltimore,Baltimore City,Maryland,"$4,000",,,,,,"$417,000",,,,,,,,,,,,,,http://www.citylifebuilders.com/files/homeownership_incentives.pdf
Baltimore County MALP: Mortgage Assistance Loan Program,,,,"$15,000 min
$25,000 max
Deferred and
then forgiven
after 15 years
Downpayment
Settlement
Repairs up to
$2,500
YES
Low - mod
80% of HUD
median
YES Community Conservation areas.
Mortgage with Participating Lenders only.
HQS Home Inspection firm from list.
Buyer contributes 5% of gross household
income towards purchase.
ONLY IN BALTIMORE COUNTY
Through a Baltimore County
approved Counseling Agency
www.co.ba.md.us/Agencies/
community/selp",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://chaibaltimore.org/wp-content/uploads/2018/12/Settlement20Assistance20Resources20Chart20August202016.pdf
Direct Homeownership Assistance Program,,Down Payment & Closing Costs,,"An additional $5,000 for CDBG Homeownership Assistance Program recipients who (a) purchase the house they have rented and occupied for at least six months, or (b) have a household member with a disability. Call Brenda Winston on 443-984-2264, or email brenda.winston@baltimorecity.gov",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dhcd.baltimorecity.gov/hho/homeownership-incentives
CDBG’s Homeownership Assistance Program,,,,"CDBG’s Homeownership Assistance Program
Contact: Marva Alette 410-396-3124
What is it?
When available, the Homeownership Assistance Program, can give qualified
first time homebuyers $5,000 toward downpayment and settlement expenses.
Who is eligible?
First-time homebuyers with a counseling certificate from a City Approved Counseling
Agency. Upon receiving a counseling certificate, the borrower can then find a property
and sign a contract to purchase. Once executing a contract, the borrower must bring
that contract back to the counseling agency to have the CDBG program application
completed. The property must be inspected utilizing an HQS inspection conducted by
a certified lead abatement inspector. Please be absolutely certain that there is no peeling,
flaking, chipping paint inside or outside the purchased property.
If there is chipped, pealing, flaking or otherwise deteriorating paint, it must be
tested for lead based paint, and if necessary, abated prior to closing. Borrower must
ensure that an Inspector certified to conduct Lead Paint Abatement inspection has
completed the lead abatement inspection and a copy of the certificate must be provided to the Office of Homeownership prior to closing. Buyers should receive the
“Seller Lead Based Paint Disclosure and EPA Pamphlet” from the housing
counseling agency when evaluating the merits of a house.
Additionally, if you qualify for other mortgage incentive programs, you can “stack”
these incentives to pay all of your closing cost expenses and may have enough residual
to reduce your mortgage principal. We have witnessed homebuyers “stacking” more
than $20,000 in incentive funds.
What are the benefits?
$5,000 down payment and closing assistance structured as a 5-year loan forgivable
20 percent per year.
What are the restrictions/loan terms?
The funding source for the Homeownership Assistance Program have 80% median
income limitations. You must be within the income limitations to qualify for this
program. A minimum of $1,000 down must come directly from the purchaser.
All homes must be purchased in Baltimore City. Income limitations are as follows:
1 person $45,500
2 person $52,000
3 person $58,500
4 person $65,000
5 person $70,200
6 person $75,400
7 person $80,600
8 person $85,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.citylifebuilders.com/files/homeownership_incentives.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.marylandhomeownership.com/search-results/?Location%5B%5D=anne-arundel-county&Location%5B%5D=baltimore-city&Location%5B%5D=baltimore-county&Location%5B%5D=carroll-county&Location%5B%5D=charles-county&Location%5B%5D=frederick-county&Location%5B%5D=harford-county&Location%5B%5D=howard-county&Location%5B%5D=montgomery-county&Location%5B%5D=prince-georges-county
Homeownership for Individuals with Disabilities Program,,Settlement Funds,,"To be eligible, at least one borrower must have a disability or is the parent of a child with a disability; the family income is not more than $85,500; and the sale price is not more than $300,000. The mortgage program offers a 3% to 5% interest rate loan for income eligible buyers. City settlement funds are part of the program. The minimum cash requirement is approximately $900. For more program details, please visit the States Web site at www.dhcd.state.md.us. For Baltimore City, contact Robert Bartolini at 410-396-4159.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dhcd.baltimorecity.gov/hho/state-mortgage-programs-and-homeownership-assistance
Homeownership for Individuals with Disabilities Program,,Settlement Funds,,"To be eligible, at least one borrower must have a disability or is the parent of a child with a disability; the family income is not more than $85,500; and the sale price is not more than $300,000. The mortgage program offers a 3% to 5% interest rate loan for income eligible buyers. City settlement funds are part of the program. The minimum cash requirement is approximately $900. For more program details, please visit the States Web site at www.dhcd.state.md.us. For Baltimore City, contact Robert Bartolini at 410-396-4159.",,,,,,,,,,,,,,,,,,,,,,,,,,,,https://dhcd.baltimorecity.gov/hho/state-mortgage-programs-and-homeownership-assistance
Sample,,Down Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
